"animal_name","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","twolegs","fourlegs","sixlegs","eightlegs","mammal","bird","reptile","fish","amphibian","bug","invertebrate"
"dolphin","!has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"dove","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"duck","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"elephant","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"flamingo","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"flea","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"frog","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"frog","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"fruitbat","has hair","!has feather","!lays eggs","produce milk","can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"giraffe","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"girl","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"gnat","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"goat","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"gorilla","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"gull","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"haddock","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"hamster","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"hare","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"hawk","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"herring","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"honeybee","has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","poisonous","!has fins","has legs","!has tail","is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"housefly","has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"kiwi","!has hair","has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"ladybird","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"lark","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"leopard","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"lion","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"lobster","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"lynx","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"mink","has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"mole","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"mongoose","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"moth","has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"newt","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"octopus","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"opossum","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"oryx","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"ostrich","!has hair","has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"parakeet","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"penguin","!has hair","has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"pheasant","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"pike","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"piranha","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"pitviper","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","poisonous","!has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"platypus","has hair","!has feather","lays eggs","produce milk","!can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"polecat","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"pony","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"porpoise","!has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"puma","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"pussycat","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"raccoon","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"reindeer","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"rhea","!has hair","has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"scorpion","!has hair","!has feather","!lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","!has backbone","breath in the air","poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"seahorse","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"seal","has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","has fins","!has legs","!has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"sealion","has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"seasnake","!has hair","!has feather","!lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","poisonous","!has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"seawasp","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"skimmer","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"skua","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"slowworm","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"slug","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"sole","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"sparrow","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"squirrel","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"starfish","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"stingray","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"swan","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"termite","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"toad","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"tortoise","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"tuatara","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"tuna","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"vampire","has hair","!has feather","!lays eggs","produce milk","can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
