Country,X..Bars.in.flag,X..Stripes.in.flag,X..Colors.in.flag,red,green,blue,gold,white,black,orange,Dominant_Color,X..Circles.in.flag,X..sun.or.stars.in.flag,crescent,triangle,text,NAmerica,SAmerica,EU,AF,AS,OS,NE,SE,SW,NW,size1,size2,size3,population,English,Spanish,French,German,Chinese,Arabic
Austria,no bar in flag,3 stripes in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,Speak German,!Speak Chinese,!Speak Arabic
Bahamas,no bar in flag,3 stripes in the flag,3 colors in the flag,!has red in flag,!has green in flag,has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Bahrain,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,Speak Arabic
Bangladesh,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Barbados,3 bar in flag,no stripe in the flag,3 colors in the flag,!has red in flag,!has green in flag,has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Belgium,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Belize,no bar in flag,2 stripes in the flag,8 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,has black in flag,has orange or brown in flag,main flag color is blue,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Benin,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Bermuda,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is red,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Bhutan,no bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,has black in flag,has orange or brown in flag,main flag color is orange,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Bolivia,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Botswana,no bar in flag,5 stripes in the flag,3 colors in the flag,!has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Brazil,no bar in flag,no stripe in the flag,4 colors in the flag,!has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
British-Virgin-Isles,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Brunei,no bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Bulgaria,no bar in flag,3 stripes in the flag,5 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Burkina,no bar in flag,2 stripes in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Burma,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Burundi,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Cameroon,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Canada,2 bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Cape-Verde-Islands,1 bar in flag,2 stripes in the flag,5 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,has orange or brown in flag,main flag color is gold,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Cayman-Islands,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,has orange or brown in flag,main flag color is blue,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Central-African-Republic,1 bar in flag,no stripe in the flag,5 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Chad,3 bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Chile,no bar in flag,2 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
China,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,larger than United States,larger than United Kingdom,larger than Turkey,more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,Speak Chinese,!Speak Arabic
Colombia,no bar in flag,3 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Comorro-Islands,no bar in flag,no stripe in the flag,2 colors in the flag,!has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,has sun or star in the flag,has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Congo,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Cook-Islands,no bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Costa-Rica,no bar in flag,5 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Cuba,no bar in flag,5 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Cyprus,no bar in flag,no stripe in the flag,3 colors in the flag,!has red in flag,has green in flag,!has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
